record_id,existing_study_id,pmid,title,authors,year,journal,document_type,book_title,publisher,doi,pmcid,abstract,publication_types,source_url,raw_xml,in_core,in_supplement,status,sampling_reason,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudication,reason,decision_date
R-8598949,,8598949,Underreimbursement of obstetric and gynecologic invasive services by the resource-based relative value scale.,Cherouny P; Nadolski C,1996,Obstetrics and gynecology,journal_article,,,10.1016/0029-7844(95)00442-4,,"OBJECTIVE: To compare the relative value of work and reimbursement by the resource-based relative value scale (RBRVS) and the charge-based McGraw-Hill relative value scale for invasive services performed for women only (obstetric-gynecologic), for men only (urology), and in a gender-neutral specialty (general surgery).
METHODS: Two hundred nineteen obstetric-gynecologic, 125 urology, and 105 general surgery invasive procedures were compared by the mean for each specialty of 1) the ratio of the procedure-specific work component of the RBRVS unit to the total relative value unit, and 2) the ratio of the procedure-specific total RBRVS unit to the McGraw-Hill relative value unit. All procedures were weighted equally. Ratios are reported as percentages. Statistics were compared by analysis of variance with Newman-Keuls test for multiple pairwise comparisons when significant differences were identified. Statistically significant differences were defined as P < .05.
RESULTS: The mean percentage of the procedure-specific work component of the RBRVS unit to the total relative value unit and the total RBRVS unit to the McGraw-Hill unit were significantly lower (P < .01 for all comparisons) for obstetric-gynecologic (49.7 and 139.5) than for urology (55.1 and 207.1) or general surgery services (53.2 and 181.0). There were no significant differences between urology and general surgery services among the procedures studied.
CONCLUSION: The data support a lower relative value of work and reimbursement for services performed for women only. This may be the result of 1) high initial estimates of work for urology and general surgery services, 2) low initial estimates of work for obstetric-gynecologic services, or 3) a carry-over of reimbursement bias from the charge-based environment to the RBRVS by the methods used in its development.",Comparative Study; Journal Article,https://pubmed.ncbi.nlm.nih.gov/8598949/,research/review_2026-09-21/pubmed/raw/priority_metadata_000200.xml,True,True,Awaiting independent human title/abstract screening,Service valuation title terms; manual classification pending,,,,,,,
R-33375989,,33375989,Total and out-of-pocket costs for PARP inhibitors among insured ovarian cancer patients.,Liang MI; Chen L; Hershman DL; Hillyer GC; Huh WK; Guyton A; Wright JD,2021,Gynecologic oncology,journal_article,,,10.1016/j.ygyno.2020.12.015,PMC7902421,"OBJECTIVE: To evaluate total and out-of-pocket costs for poly(ADP-ribose) polymerase (PARP) inhibitors and differences based on insurance characteristics.
METHODS: We identified ovarian cancer patients who were prescribed niraparib, olaparib, or rucaparib from the MarketScan (2014-2017) and Surveillance, Epidemiology, and End Results (SEER)-Medicare (2014-2016) databases. Drug costs were estimated for a 30-day supply. Descriptive statistics and Wilcoxon rank sum tests were performed.
RESULTS: 590 commercially insured beneficiaries from MarketScan and 213 SEER-Medicare beneficiaries were prescribed PARP inhibitors for a median 112 days. For commercially insured beneficiaries, median total cost was $13,342 (IQR $12,022-$14,256). Median out-of-pocket cost was $44 (IQR $0-$120) and PARP inhibitors accounted for a median 90.8% of patients' total out-of-pocket drug spending. High-deductible health plan was not associated with higher out-of-pocket costs (N = 570; median $0 vs. $45, P = 0.87). For SEER-Medicare beneficiaries, median total cost was $12,798 (IQR $11,704-$13,180). Median out-of-pocket cost was $370 (IQR $2-$1234) and PARP inhibitors accounted for a median 99.0% of patients' total out-of-pocket drug spending. Out-of-pocket costs were lower for dual-eligible patients with supplemental Medicaid prescription coverage (N = 209; median $1 vs. $911, P < 0.001).
CONCLUSIONS: Although insurers are responsible for a large proportion of PARP inhibitor costs, out-of-pocket costs for PARP inhibitors account for a majority of patients' drug spending. SEER-Medicare beneficiaries had higher out-of-pocket costs than patients with commercial insurance, which was offset for those with supplemental Medicaid prescription coverage.","Journal Article; Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/33375989/,research/review_2026-09-21/pubmed/raw/priority_metadata_004000.xml,True,True,Awaiting independent human title/abstract screening,Medication affordability title terms; manual classification pending,,,,,,,
R-32473266,,32473266,Effects of the Affordable Care Act's enhancement of Medicare benefits on preventive services utilization among older adults in the U.S.,Toseef MU; Jensen GA; Tarraf W,2020,Preventive medicine,journal_article,,,10.1016/j.ypmed.2020.106148,,"Since 2011, the Affordable Care Act (ACA) requires the provision of certain recommended clinical preventive services without cost-sharing for individuals in Medicare. We re-visited the effects of the ACA on preventive services utilization under Medicare, using data from the Medical Expenditure Panel Survey (MEPS) and examined the ACA's longer-term effects on preventive services utilization among Medicare beneficiaries. We analyzed nationally representative data on non-institutionalized Medicare beneficiaries (n = 27,124) from the 2006-2010 and 2012-2016 Medical Expenditure Panel Survey. Preventive services of interest were cholesterol test, blood pressure test, flu shot, endoscopy, blood stool test, clinical breast exam, mammography and prostate exam. We estimated propensity score weighted difference-in-difference (DID) models to test for differences in preventive services utilization based on Medicare insurance status. Nationwide, among beneficiaries with traditional Medicare only, who stood to gain the most from eliminating cost-sharing for preventive services, the percentage of women receiving clinical breast exams rose post-reform (Δ = 8.1%; p < 0.015) as compared to Medicare beneficiaries with supplemental private coverage, while at the same time the percentage receiving other preventive services did not change post-reform (all p > 0.05). Based on this analysis of MEPS data spanning 2006-2016, the ACA's enhancement of Medicare coverage had only modest effects on the percentage of beneficiaries receiving a range of preventive services. Medicare beneficiaries should be better informed of the availability of these services and encouraged by their physicians to avail the no cost-sharing incentive of these reforms.",Journal Article,https://pubmed.ncbi.nlm.nih.gov/32473266/,research/review_2026-09-21/pubmed/raw/priority_metadata_003600.xml,True,False,Awaiting independent human title/abstract screening,Medication affordability title terms; manual classification pending,,,,,,,
R-37234016,,37234016,Comparison of Out-of-Pocket Spending on Ultra-Expensive Drugs in Medicare Part D vs Commercial Insurance.,DiStefano MJ; Kang SY; Parasrampuria S; Anderson GF,2023,JAMA health forum,journal_article,,,10.1001/jamahealthforum.2023.1090,PMC10220512,"IMPORTANCE: Little is known about how out-of-pocket burden differs between Medicare and commercial insurance for ultra-expensive drugs.
OBJECTIVE: To investigate out-of-pocket spending for ultra-expensive drugs in the Medicare Part D program vs commercial insurance.
DESIGN, SETTING, AND PARTICIPANTS: This was a retrospective, population-based cohort study of individuals using ultra-expensive drugs included in a 20% nationally random sample of prescription drug claims from Medicare Part D and individuals aged 45 to 64 years using ultra-expensive drugs included in a large national convenience sample of outpatient pharmaceutical claims from commercial insurance plans. Claims data from 2013 through 2019 were used, and data were analyzed in February 2023.
MAIN OUTCOMES AND MEASURES: Claims-weighted mean out-of-pocket spending per beneficiary per drug by insurance type, plan, and age.
RESULTS: In 2019, 37 324 and 24 159 individuals using ultra-expensive drugs were identified in the 20% Part D and commercial samples, respectively (mean [SD] age, 66.2 [11.7] years; 54.9% female). A statistically significant higher share of commercial enrollees vs Part D beneficiaries were female (61.0% vs 51.0%; P < .001), and a statistically significantly lower share were using 3 or more branded medications (28.7% vs 42.6%; P < .001). Mean out-of-pocket spending per beneficiary per drug in 2019 was $4478 in Part D (median [IQR], $4169 [$3369-$5947]) compared with $1821 for commercial (median [IQR], $1272 [$703-$1924]); these differences were statistically significant every year. Differences in out-of-pocket spending comparing commercial enrollees aged 60 to 64 years and Part D beneficiaries aged 65 to 69 years exhibited similar magnitudes and trends. By plan, mean out-of-pocket spending per beneficiary per drug in 2019 was $4301 (median [IQR], $4131 [$3000-$6048]) in Medicare Advantage prescription drug (MAPD) plans, $4575 (median [IQR], $4190 [$3305-$5799]) in stand-alone prescription drug plans (PDPs), $1208 (median [IQR], $752 [$317-$1240]) in health maintenance organization plans, $1569 (median [IQR], $838 [$481-$1472]) in preferred provider organization plans, and $4077 (median [IQR], $2882 [$1075-$4226]) in high-deductible health plans. There were no statistically significant differences between MAPD plans and stand-alone PDPs in any study year. Mean out-of-pocket spending was statistically significantly higher in MAPD plans compared with health maintenance organization plans and in stand-alone PDPs compared with preferred provider organization plans in each study year.
CONCLUSIONS AND RELEVANCE: This cohort study demonstrated that the $2000 out-of-pocket cap included in the Inflation Reduction Act may substantially moderate the potential increase in spending faced by individuals who use ultra-expensive drugs when moving from commercial insurance to Part D coverage.","Journal Article; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/37234016/,research/review_2026-09-21/pubmed/raw/priority_metadata_005000.xml,True,True,Awaiting independent human title/abstract screening,Medication affordability title terms; manual classification pending,,,,,,,
R-37145467,,37145467,The Association of Medicaid Insurance and Affordable Care Act Expansions with Survival among Patients with Testicular Cancer.,Bhambhvani HP; Hampshire K; Eisenberg ML,2021,Urology practice,journal_article,,,10.1097/UPJ.0000000000000229,,"INTRODUCTION: Following passage of the Affordable Care Act, Medicaid access was expanded in several states beginning in 2014. We sought to determine the oncologic implications by comparing outcomes between testicular germ cell tumor patients with Medicaid and those without insurance, and by assessing for changes in outcomes after 2014.
METHODS: A total of 18,506 men with seminomatous or nonseminomatous germ cell tumors were identified within the Surveillance, Epidemiology, and End Results database (2007-2016). Multivariable Cox proportional hazards, Fine and Gray competing-risks regression, propensity score matching, cumulative incidence plots and segmented Poisson regression models were used.
RESULTS: Compared to no insurance, Medicaid insurance was not associated with differences in all-cause mortality or cancer-specific mortality among seminoma patients (all-cause mortality: HR=1.24, p=0.87; cancer-specific mortality: HR=0.92, p=0.75) or nonseminoma patients (all-cause mortality: HR=1.13, p=0.33; cancer-specific mortality: HR=1.10, p=0.51). Among matched Medicaid and uninsured patients, there was again no difference in cancer-specific mortality for those with seminoma (p=0.81) or nonseminoma (p=0.23). There was a 99% increase in Medicaid enrollment in expansion states in the post-Affordable Care Act era. There was no difference in post-expansion all-cause mortality between expansion states and nonexpansion states for men with seminoma (p=0.42) or nonseminoma (p=0.53).
CONCLUSIONS: Medicaid enrollment increased in expansion states following the Affordable Care Act. However, there was no difference in survival between Medicaid patients and uninsured patients, or between patients in expansion states versus nonexpansion states, highlighting the need for population-level policy interventions to improve access and quality of care among testicular cancer patients with Medicaid.",Journal Article,https://pubmed.ncbi.nlm.nih.gov/37145467/,research/review_2026-09-21/pubmed/raw/priority_metadata_005000.xml,True,False,Awaiting independent human title/abstract screening,Medication affordability title terms; manual classification pending,,,,,,,
R-33001201,,33001201,Association of Medicaid Expansion Under the Patient Protection and Affordable Care Act With Use of Long-term Care.,Van Houtven CH; McGarry BE; Jutkowitz E; Grabowski DC,2020,JAMA network open,journal_article,,,10.1001/jamanetworkopen.2020.18728,PMC7530637,"IMPORTANCE: Medicaid expansion is associated with increased access to health services, increased quality of medical care delivered, and reduced mortality, but little is known about its association with use of long-term care.
OBJECTIVE: To examine the association of Medicaid expansion under the Patient Protection and Affordable Care Act (ACA) with long-term care use among newly eligible low-income adults and among older adults whose eligibility did not change.
DESIGN, SETTING, AND PARTICIPANTS: This difference-in-difference cohort study used data from the Health and Retirement Study, a nationally representative longitudinal survey of persons 50 years or older. Long-term care use from 2008 to 2012 was compared with use from 2014 to 2016 among low-income adults aged 50 to 64 years without Medicare coverage residing in states in which Medicaid coverage expanded in 2014 and those living in states without expansion. Low-income adults who were covered by Medicare and were ineligible for expanded Medicaid were also included in the analysis. Data were analyzed from January 15, 2018, to December 31, 2019.
EXPOSURES: Residence in a state with Medicaid expansion in 2014.
MAIN OUTCOMES AND MEASURES: Any home health care use or any nursing home use in 2014 or 2016. All estimates are weighted to account for the Health and Retirement Study sampling design.
RESULTS: Among the 891 individuals likely eligible for expanded Medicaid, the mean (SD) age was 55.2 (3.1) years; 534 (53.4%) were women, 482 (49.5%) were married, and 661 (45.9%) were White non-Hispanic. Before the ACA-funded Medicaid expansion, 0.4% (95% CI, -0.3% to 1.1%) in expansion states and 1.0% (95% CI, -0.1% to 2.2%) in nonexpansion states used nursing homes, and 1.9% (95% CI, 0.4%-3.4%) in expansion states and 7.1% (95% CI, 4.7%-9.5%) in nonexpansion states used any formal home care. The ACA-funded Medicaid expansion was associated with an increase of 4.4 percentage points (95% CI, 2.8-6.1 percentage points) in the probability of any long-term care use among low-income, middle-aged adults, with increases in home health use (3.8 percentage points; 95% CI, 2.0-5.6 percentage points) and in any nursing home use (2.1 percentage points; 95% CI, 0.9-3.3 percentage points).
CONCLUSIONS AND RELEVANCE: In this study, ACA-funded Medicaid expansion was associated with an increase in any long-term care use among newly eligible low-income, middle-aged adults, suggesting that the population covered by the Medicaid expansion may have had unmet long-term care needs before expansion.","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",https://pubmed.ncbi.nlm.nih.gov/33001201/,research/review_2026-09-21/pubmed/raw/priority_metadata_003800.xml,True,False,Awaiting independent human title/abstract screening,Medication affordability title terms; manual classification pending,,,,,,,
R-18422950,,18422950,Discharge setting for patients with hip fracture: trends from 2001 to 2005.,Nguyen-Oghalai TU; Kuo YF; Zhang DD; Graham JE; Goodwin JS; Ottenbacher KJ,2008,Journal of the American Geriatrics Society,journal_article,,,10.1111/j.1532-5415.2008.01688.x,PMC2441644,"OBJECTIVES: To examine recent trends in discharge disposition after hospitalization for hip fracture.
DESIGN: Retrospective observational study using data from the 5% random sample of Medicare claims data from 2001 to 2005 that the Centers for Medicare and Medicaid Services makes available for research purposes.
SETTING: Inpatient medical rehabilitation pre- and postimplementation of prospective payment (2001-2005).
PARTICIPANTS: Forty-four thousand six hundred eighty-four Medicare patients.
MEASURES: Postacute discharge setting (home, inpatient rehabilitation, skilled nursing facility, and long-term care nursing home/hospital/hospice).
RESULTS: Bivariate analyses showed that discharge from acute care to inpatient rehabilitation increased from 12.2% in 2001 to 23.9% in 2005. The odds of discharge to inpatient medical rehabilitation were 2.26 (95% confidence interval=2.09-2.45) greater in 2005 than in 2001 after adjustment for patient characteristics (age, sex, and race or ethnicity), admitting diagnoses, type of treatment (internal fixation vs arthroplasty), and length of stay.
CONCLUSION: The move from fee for service to prospective payment for postacute services for persons with hip fracture was associated with greater use of inpatient medical rehabilitation. Further research is necessary to confirm the trend in discharge setting and determine whether it is related to changes in reimbursement for postacute care.","Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",https://pubmed.ncbi.nlm.nih.gov/18422950/,research/review_2026-09-21/pubmed/raw/priority_metadata_001000.xml,True,True,Awaiting independent human title/abstract screening,Bone and fracture title terms; manual classification pending,,,,,,,
R-23660182,,23660182,"Temporal trends in the incidence, treatment, and outcomes of hip fracture in older patients initiating dialysis in the United States.",Nair SS; Mitani AA; Goldstein BA; Chertow GM; Lowenberg DW; Winkelmayer WC,2013,Clinical journal of the American Society of Nephrology : CJASN,journal_article,,,10.2215/CJN.10901012,PMC3731911,"BACKGROUND AND OBJECTIVES: Patients with ESRD experience a fivefold higher incidence of hip fracture than the age- and sex-matched general population. Despite multiple changes in the treatment of CKD mineral bone disorder, little is known about long-term trends in hip fracture incidence, treatment patterns, and outcomes in patients on dialysis.
DESIGN, SETTING, PARTICIPANTS, & MEASUREMENTS: Fourteen annual cohorts (1996-2009) of older patients (≥67 years) initiating dialysis in the United States were studied. Eligible patients had Medicare fee-for-service coverage for ≥2 years before dialysis initiation and were followed for ≤3 years for a first hip fracture. Type of treatment (internal fixation or partial or total hip replacement) was ascertained along with 30-day mortality. Cox and modified Poisson regressions were used to describe trends in study outcomes.
RESULTS: This study followed 409,040 patients over 607,059 person-years, during which time 17,887 hip fracture events were recorded (29.3 events/1000 person-years). Compared with patients incident for ESRD in 1996, adjusted hip fracture rates increased until the 2004 cohort (+41%) and declined thereafter. Surgical treatment included internal fixation in 56%, partial hip replacement in 29%, and total hip replacement in 2%, which remained essentially unchanged over time; 30-day mortality after hip fracture declined from 20% (1996) to 16% (2009).
CONCLUSIONS: Hip fracture incidence rates remain higher today than in patients reaching ESRD in 1996, despite multiple purported improvements in the management of CKD mineral bone disorder. Although recent declines in incidence and steady declines in associated short-term mortality are encouraging, hip fractures remain among the most common and consequential noncardiovascular complications of ESRD.","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/23660182/,research/review_2026-09-21/pubmed/raw/priority_metadata_001600.xml,True,False,Awaiting independent human title/abstract screening,Bone and fracture title terms; manual classification pending,,,,,,,
R-24458966,,24458966,Determinants of postsurgical discharge setting for male hip fracture patients.,Maciejewski ML; Radcliff TA; Henderson WG; Cowper Ripley D; Vogel WB; Regan E; Hutt E,2013,Journal of rehabilitation research and development,journal_article,,,10.1682/JRRD.2013.02.0041,,"Veterans hospitalized for hip fracture repair may be discharged to one of several rehabilitation settings, but it is not known what factors influence postsurgical discharge setting. The purpose of the study was to examine the patient, facility, and market factors that influence the choice of postsurgical discharge setting. Using a retrospective cohort design, we linked 11,083 veterans who had hip fracture surgeries in a Department of Veterans Affairs (VA) hospital from 1998 to 2005 as assessed by the VA National Surgical Quality Improvement Program dataset with administrative data. The factors associated with five postdischarge settings were analyzed using multinomial logistic regression. We found that few veterans (0.8%) hospitalized for hip fracture were discharged with home health. Higher proportions of veterans were discharged to a nursing home (15.4%), to outpatient rehabilitation (18.8%), to inpatient rehabilitation (16.9%), or to home (48.2%). Patients were more likely to be discharged to nonhome settings for VA-provided rehabilitation if they had total function dependence, had American Society of Anesthesiologists class 4 or 5, had surgical complications prior to discharge, or lived in counties with lower nursing home bed occupancy rates. Future research should compare postsurgical and longer-term morbidity, mortality, and healthcare utilization across these rehabilitation settings.","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",https://pubmed.ncbi.nlm.nih.gov/24458966/,research/review_2026-09-21/pubmed/raw/priority_metadata_001800.xml,True,False,Awaiting independent human title/abstract screening,Bone and fracture title terms; manual classification pending,,,,,,,
R-19345769,,19345769,Disparities in utilization of outpatient rehabilitative care following hip fracture hospitalization with respect to race and ethnicity.,Nguyen-Oghalai TU; Ottenbacher KJ; Kuo YF; Wu H; Grecula M; Eschbach K; Goodwin JS,2009,Archives of physical medicine and rehabilitation,journal_article,,,10.1016/j.apmr.2008.10.021,PMC2778195,"OBJECTIVE: To compare the prevalence of discharge home to self-care after hip fracture hospitalization among the elderly in 3 racial groups: whites, Hispanics, and blacks.
DESIGN: Secondary data analysis.
SETTING: US hospitals.
PARTICIPANTS: Patients (N=34,203) aged 65 and older with Medicare insurance discharged after hip fracture hospitalization between 2001 and 2005.
INTERVENTIONS: Not applicable.
MAIN OUTCOME MEASURE: Discharge home to self-care.
RESULTS: Bivariate analyses showed higher rates of discharge home to self-care among minorities, 16.4% for Hispanics, 8.7% for blacks, and 5.9% for whites. Hispanics had 3-fold higher odds of being discharged home to self-care, and blacks had about 50% higher odds of being discharged home to self-care after adjusting for age, sex, Klabunde's comorbidity index, income, year of admission, type of hip fracture, surgical stabilization procedure, and length of hospital stay.
CONCLUSIONS: The higher rate of discharge home to self-care among minorities underscores the risk of suboptimal outpatient rehabilitative care among minorities with hip fracture.","Comparative Study; Journal Article; Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/19345769/,research/review_2026-09-21/pubmed/raw/priority_metadata_001200.xml,True,False,Awaiting independent human title/abstract screening,Bone and fracture title terms; manual classification pending,,,,,,,
R-39303221,,39303221,Disparities in Dual-energy X-ray Absorptiometry Scan Utilization Across Race/Ethnic Groups Before and After Hip Fractures.,Rudisill KE; Ratnasamy PP; Sanchez JG; Grauer JN,2024,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,journal_article,,,10.5435/JAAOSGlobal-D-24-00052,PMC11419421,"BACKGROUND: Geriatric hip fractures are common and important sentinel events regarding bone health. Although dual x-ray absorptiometry (DEXA) scans are a standard method for determining bone density, differences in use among various race/ethnic groups around the time of hip fracture may reveal disparities within the healthcare system.
METHODS: The 2014 to 2016 Medicare Standard Analytic Files PearlDiver data set was used to identify geriatric patients sustaining hip fracture. From that cohort, those who had a DEXA scan before or after their fracture were defined. For the defined cohorts, patient age, sex, Elixhauser Comorbidity Index, race/ethnicity, and income (based on zip code) were defined and compared with univariate and multivariate analyses.
RESULTS: Of 58,099 hip fracture patients, only 19.8% had had a DEXA scan before fracture and 3.9% of the remaining group had the DEXA scan after fracture. Of the hip fracture population, 91.0% identified as White and 9.0% as non-White (Native American, Black, Hispanic, Asian, or Other). Before hip fracture, controlling for other variables and compared with White patients, all non-White categories were at lesser odds of having had the DEXA scan. After hip fracture, Black, Hispanic, and other patients were also at lesser odds of having the DEXA scan.
DISCUSSION: Using a large Medicare data set, controlling for patient age, sex, Elixhauser Comorbidity Index, and income marker, this study revealed disparities in DEXA scan utilization across race/ethnic groups before and after presenting with a hip fragility fracture. Identification of such disparities highlights the needs for improved medical access and care for this at-risk hip fracture population.","Journal Article; Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/39303221/,research/review_2026-09-21/pubmed/raw/priority_metadata_005600.xml,True,False,Awaiting independent human title/abstract screening,Bone and fracture title terms; manual classification pending,,,,,,,
R-36282933,,36282933,Is adding ribociclib to fulvestrant cost-effective in treating postmenopausal women with HR+/HER2- advanced or metastatic breast cancer? A US payer perspective cost utility analysis.,Berrios K; Burum A; Jeong E; Zhong L,2022,Journal of managed care & specialty pharmacy,journal_article,,,10.18553/jmcp.2022.28.11.1282,PMC10373030,"BACKGROUND: Breast cancer is the most prevalent type of cancer in women in the United States. Ribociclib plus fulvestrant combination therapy gained US Food and Drug Administration approval to treat postmenopausal women with hormone receptor-positive/human epidermal growth factor receptor 2-negative (HR+/HER2-) advanced or metastatic breast cancer in 2018. OBJECTIVE: To determine the cost-effectiveness of ribociclib plus fulvestrant vs placebo plus fulvestrant therapy in the target population from a US payer perspective. METHODS: A partitioned survival analysis model composed of 3 health states (progression free, progressed disease, and death) was constructed to evaluate the cost-effectiveness of ribociclib plus fulvestrant vs placebo plus fulvestrant. The progression-free survival and the overall survival data points were extracted from published Kaplan-Meier curves in the MONALEESA-3 study and fitted to parametric curves. The safety and efficacy of the treatment was referenced from the MONALEESA-3 trial. Costs were obtained from standard sources including the Red Book for medication costs, Medicare Clinical Laboratory/Physician Fee Schedule for clinical utilization, and the literature for costs of managing adverse events, subsequent therapy, and end-of-life care. Utility and disutility values were obtained from literature to calculate quality-adjusted life-years (QALYs). One-way and probabilistic sensitivity analyses were conducted to test the model robustness. Several scenario analyses were also investigated. RESULTS: In the base case, the ribociclib plus fulvestrant arm was associated with $522,844 and 3.25 QALYs compared with $50,395 and 2.14 QALYs in the placebo plus fulvestrant arm, leading to an incremental cost-effectiveness ratio of $425,951/QALY. The cost of ribociclib had the biggest impact on the model and constituted 84% of the total cost for the ribociclib plus fulvestrant arm. The probabilistic sensitivity analysis projected that the ribociclib plus fulvestrant treatment would have a net benefit over the placebo plus fulvestrant therapy at a willingness-to-pay (WTP) threshold of $405,600/QALY. CONCLUSIONS: At a WTP threshold of $150,000/QALY, the addition of ribociclib to fulvestrant is not considered to be cost-effective in postmenopausal women with HR+/HER2- advanced or metastatic breast cancer. The findings send a strong price signal to the manufacturer and can be used to facilitate payers with price negotiation in making coverage decisions.",Journal Article,https://pubmed.ncbi.nlm.nih.gov/36282933/,research/review_2026-09-21/pubmed/raw/priority_metadata_004600.xml,True,True,Awaiting independent human title/abstract screening,Reproductive and sexual care title terms; manual classification pending,,,,,,,
R-38810963,,38810963,Influence of Pregnancy Intention on Postpartum Contraceptive Choice at an Urban Academic Medical Center.,St John M; Sullivan K; DeFranco EA; Kelly E,2025,American journal of perinatology,journal_article,,,10.1055/a-2335-2951,,"OBJECTIVE: This study aimed to describe postpartum contraception preferences in the context of pregnancy intention (PI).
STUDY DESIGN: A prospective cohort study analyzing postpartum contraceptive choice (PCC) in 431 postpartum women who delivered at a single academic medical center. PCC in women with an unintended or mistimed pregnancy was compared to contraceptive choice in women with an intended pregnancy using the adapted National Survey of Family Growth categorization. Mistimed and unintended pregnancies were grouped for analysis. Generalized linear modeling estimated the relative influence of PI on PCC adjusting for maternal age, race, and parity.
RESULTS: Nearly three out of four (71.9%) pregnancies were mistimed or unintended. These pregnancies were more likely in women who were non-Hispanic Black (62.3%), unmarried (86.3%), 18 to 24 years (51.3%), and insured by Medicaid or Medicare (82.1%), compared to women with an intended pregnancy, p-value <0.001. Women with mistimed or unintended pregnancy were 83% more likely to choose highly effective, user-independent methods compared to any other or no method, adjusted relative risk (aRR) = 1.83 (95% confidence interval [CI]: 1.36, 2.47), and more likely to desire voluntary sterilization, aRR = 2.70 (95% CI: 1.58, 4.59). Additionally, women with these pregnancies were 56% more likely to use user-independent methods compared to user-dependent methods, aRR = 1.56 (95% CI: 1.18, 2.06).
CONCLUSION: Women with mistimed or unintended pregnancies are 83% more likely to choose highly effective postpartum contraception or voluntary sterilization, and thus initiatives are necessary to increase access and affordability to these methods before hospital discharge after delivery.
KEY POINTS: · Nearly three out of four pregnancies in this study were mistimed or unintended.. · Women with mistimed or unintended pregnancies are more likely to choose highly effective postpartum contraception or voluntary sterilization.. · Public health initiatives to improve access to family planning services and postpartum contraception, including surgery for bilateral tubal ligation before discharge from the hospital postdelivery, are important areas of focus to help attenuate the rates of unintended pregnancy in the United States..",Journal Article,https://pubmed.ncbi.nlm.nih.gov/38810963/,research/review_2026-09-21/pubmed/raw/priority_metadata_005400.xml,True,False,Awaiting independent human title/abstract screening,Reproductive and sexual care title terms; manual classification pending,,,,,,,
R-27061765,,27061765,Androgen Therapy and Rehospitalization in Older Men With Testosterone Deficiency.,Baillargeon J; Deer RR; Kuo YF; Zhang D; Goodwin JS; Volpi E,2016,Mayo Clinic proceedings,journal_article,,,10.1016/j.mayocp.2016.03.016,PMC4860086,"OBJECTIVE: To assess whether the receipt of androgen therapy is associated with a reduced 30-day rehospitalization rate among older men with testosterone deficiency.
PATIENTS AND METHODS: We conducted a retrospective cohort study using a 5% national sample of Medicare beneficiaries. We identified 6372 nonsurgical hospitalizations between January 1, 2007, and December 31, 2012, for male patients aged 66 years and older with a previous diagnosis of testosterone deficiency. Patients who died or lost Medicare coverage in the 30 days after hospital discharge or who were discharged to another inpatient setting were excluded from the analysis. Logistic regression was used to calculate odds ratios (ORs) and 95% CIs for the risk of 30-day hospital readmissions associated with receipt of androgen therapy.
RESULTS: In older men with testosterone deficiency, receipt of androgen therapy was associated with a reduced risk of rehospitalization (91 of 929 androgen users [9.8%] vs 708 of 5443 non-androgen users [13.0%]; OR, 0.73; 95% CI, 0.58-0.92) in the 30 days after hospital discharge. In a logistic regression analysis adjusting for multiple demographic, clinical, and health service variables, the OR was similar (OR, 0.75; 95% CI, 0.59-0.95). The adjusted OR for unplanned 30-day hospital readmissions was 0.62 (95% CI, 0.47-0.83). Each of these findings persisted across a range of propensity score analyses-including adjustment, stratification, and inverse probability treatment weighting-and several sensitivity analyses.
CONCLUSION: Androgen therapy may reduce the risk of rehospitalization in older men with testosterone deficiency. Given the high rates of early hospital readmission among older adults, further exploration of this intervention holds broad clinical and public health relevance.","Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",https://pubmed.ncbi.nlm.nih.gov/27061765/,research/review_2026-09-21/pubmed/raw/priority_metadata_002200.xml,True,False,Awaiting independent human title/abstract screening,Reproductive and sexual care title terms; manual classification pending,,,,,,,
